tag,x,y,direction,x_variance,y_variance,xy_covariance
yellow,5.108230720354353,-2.0034897337304542,0.0,0.00019832,0.00019832,0.0
yellow,6.096152170796511,-2.4527937148287604,0.0,0.000196,0.000196,0.0
yellow,7.117050602336171,-2.931042052039907,0.0,0.000196,0.000196,0.0
yellow,7.99331940606393,-3.952691580855978,0.0,0.000196,0.000196,0.0
yellow,8.522666573627157,-5.3442512495655325,0.0,0.000196,0.000196,0.0
yellow,8.937436416146909,-6.782336140114061,0.0,0.000196,0.000196,0.0
yellow,10.091665702733465,-7.9419486389604295,0.0,0.000196,0.000196,0.0
yellow,12.170632528152256,-8.569999305310416,0.0,0.000196,0.000196,0.0
yellow,14.811756816526596,-8.070045143327375,0.0,0.000196,0.000196,0.0
yellow,17.54667973242898,-7.478267646350247,0.0,0.000196,0.000196,0.0
yellow,19.72840829425381,-6.4082074249746785,0.0,0.000196,0.000196,0.0
yellow,21.193193698083146,-4.7907430109902664,0.0,0.000196,0.000196,0.0
yellow,22.25244661889156,-3.5063914812990933,0.0,0.000196,0.000196,0.0
yellow,23.007103066051453,-2.1796530678642987,0.0,0.000196,0.000196,0.0
yellow,23.67962634333316,-0.4540837046513448,0.0,0.000196,0.000196,0.0
yellow,24.287082185329176,1.1034364837132262,0.0,0.000196,0.000196,0.0
yellow,24.55067308980838,3.1558079637868772,0.0,0.000196,0.000196,0.0
yellow,24.52175817701454,5.77792621193351,0.0,0.000196,0.000196,0.0
yellow,24.10747716406054,8.20373316034032,0.0,0.000196,0.000196,0.0
yellow,22.988933155742735,10.369064208119006,0.0,0.000196,0.000196,0.0
yellow,21.902132020885507,11.879809793727196,0.0,0.000196,0.000196,0.0
yellow,20.473816744907086,13.158658905871738,0.0,0.000196,0.000196,0.0
yellow,18.973867134767378,14.420059056602781,0.0,0.000196,0.000196,0.0
yellow,16.473065661620293,14.28136549107889,0.0,0.000196,0.000196,0.0
yellow,13.521792118405763,14.030613387977255,0.0,0.000196,0.000196,0.0
yellow,11.302823550348007,13.595496527329757,0.0,0.000196,0.000196,0.0
yellow,9.894189855877235,12.794086044899561,0.0,0.000196,0.000196,0.0
yellow,8.86115898133351,11.844793417476406,0.0,0.000196,0.000196,0.0
yellow,8.299853906189222,10.680796605214232,0.0,0.000196,0.000196,0.0
yellow,8.042713273260595,9.36238499525399,0.0,0.000196,0.000196,0.0
yellow,7.543238669066342,8.290664061597628,0.0,0.000196,0.000196,0.0
yellow,6.512340358017483,7.291295016333289,0.0,0.000196,0.000196,0.0
yellow,5.129345996265017,7.0662056758804335,0.0,0.000196,0.000196,0.0
yellow,2.429376462805198,7.074505419944569,0.0,0.000196,0.000196,0.0
yellow,1.589505210403423,7.334207083554599,0.0,0.000196,0.000196,0.0
yellow,0.712052011582489,7.8588374528121285,0.0,0.000196,0.000196,0.0
yellow,-0.1130738919589362,8.411578517489353,0.0,0.000196,0.000196,0.0
