tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
big_orange,4.611106988674045,-1.6578619099590357,0.0,0.000196,0.000196,0.0
big_orange,4.849464907005635,-1.8129402173015903,0.0,0.000196,0.000196,0.0
big_orange,6.326546843894017,1.80178952699135,0.0,0.000196,0.000196,0.0
big_orange,6.609286043035303,1.6921565192386916,0.0,0.0004592258064516,0.0004592258064516,0.0
big_orange,6.5944764978208745,1.6690126013033637,0.0,0.000196,0.000196,0.0
blue,8.741714947703775,0.42007570717971965,0.0,0.000196,0.000196,0.0
blue,10.657710966204865,-1.178009012332102,0.0,0.000196,0.000196,0.0
blue,11.636212635775708,-3.3584613647172374,0.0,0.000196,0.000196,0.0
blue,12.237373934835746,-5.73661000376169,0.0,0.000196,0.000196,0.0
blue,13.085360663349235,-7.299652868674638,0.0,0.000196,0.000196,0.0
blue,14.833151322810464,-8.34406432518774,0.0,0.000196,0.000196,0.0
blue,16.974620581755556,-8.983473975644905,0.0,0.000196,0.000196,0.0
blue,18.943917156515024,-8.535916332178534,0.0,0.000196,0.000196,0.0
blue,20.54545415540616,-7.0673517598783615,0.0,0.000196,0.000196,0.0
blue,21.469334982419873,-5.4893537886842925,0.0,0.000196,0.000196,0.0
blue,22.721606242696403,-3.304163130008765,0.0,0.000196,0.000196,0.0
blue,23.11150152566663,-1.4782417712498197,0.0,0.00056625,0.00056625,0.0
blue,24.867316410767746,0.8000724646948629,0.0,0.000196,0.000196,0.0
blue,25.807821726453458,2.621917001139466,0.0,0.000196,0.000196,0.0
blue,27.054782771700303,4.736734257435497,0.0,0.000196,0.000196,0.0
blue,27.261580065808925,6.411388549933637,0.0,0.000196,0.000196,0.0
blue,26.918068879229466,8.208950888205294,0.0,0.000196,0.000196,0.0
blue,26.09508905803075,9.433005254113601,0.0,0.000196,0.000196,0.0
blue,24.74212762007898,10.758403020850283,0.0,0.000196,0.000196,0.0
blue,22.972359061033405,11.539108584392576,0.0,0.000196,0.000196,0.0
blue,20.843610449971855,11.383480100093907,0.0,0.000196,0.000196,0.0
blue,19.217625426636825,10.554698152164924,0.0,0.000196,0.000196,0.0
blue,17.162985135506023,10.037367341501476,0.0,0.000196,0.000196,0.0
blue,15.481727235330599,9.804216909504891,0.0,0.000196,0.000196,0.0
blue,13.59942739991185,9.860166487064129,0.0,0.000196,0.000196,0.0
blue,11.563729799096112,10.812555977827005,0.0,0.000196,0.000196,0.0
blue,9.932434378898266,11.788268182209098,0.0,0.000196,0.000196,0.0
blue,8.771680753482473,13.378352966519202,0.0,0.000196,0.000196,0.0
blue,8.264870871434324,15.485028553027766,0.0,0.000196,0.000196,0.0
blue,7.939541591788018,17.119867672321067,0.0,0.000196,0.000196,0.0
blue,7.021660371907991,19.061258236690733,0.0,0.000196,0.000196,0.0
blue,5.993351185097481,20.56952156165362,0.0,0.000196,0.000196,0.0
